date,Skiing,Rafting,Cycling,Ice Skating,Surfing,Snowboarding
2009-12-06,1215.8787362302917,99.96859330024108,812.1365917849134,1311.556206291239,842.6743260437604,1008.0662230376408
2009-12-13,1337.7496011565534,119.33236372939652,807.8136775163163,1572.7130095028288,701.2941059457795,1066.6801452897996
2009-12-20,1754.9893239328026,104.10239028422492,769.6979733178275,2403.4825903206483,663.1917393063851,1141.750260384681
2009-12-27,2068.247011753925,141.7415793353907,797.1597986494739,2982.128646502393,635.3225463210921,1175.362860075662
2010-01-03,1974.6479548557568,173.1721519003559,836.5689018125389,1572.6434949423551,627.8942794055567,1019.6245264379075
2010-01-10,1894.606824238048,169.98892913643346,817.6744181623657,1298.0004441280696,554.2003507999858,907.9272420828004
2010-01-17,1431.7543087960223,189.23971130767825,844.9672283368452,1259.5309746019418,556.9895167343606,858.4667860334575
2010-01-24,1294.6683750187058,178.74421938908176,828.9835233549699,1053.4923424391914,568.4992202235985,847.2433511150527
2010-01-31,1300.7772745523216,192.4410474700168,808.4008776289705,784.1451581844469,578.387009441364,941.8858923273112
2010-02-07,1791.80833544115,200.63636429621167,808.9294903959482,969.1375120608094,577.2369085993281,993.7182525148888
2010-02-14,3350.022984174693,212.54789705092892,899.3050653054353,2418.223710148,658.954095214724,2997.0678392522
2010-02-21,2530.773110264712,209.20159514965303,870.7280179583934,2082.7971065981114,567.9726583014234,1391.901092353894
2010-02-28,1396.065726882843,245.55693798305427,955.0871430208548,994.9577425549476,559.0116055007319,927.02042933265
2010-03-07,898.356070428136,253.819027356994,974.8261196580002,559.7894652548241,597.2186421786026,585.5744327839457
2010-03-14,658.1910402566778,284.4814287893711,1030.4145121186052,503.7075921171147,581.2364243765921,407.6079017189769
2010-03-21,490.322829439137,307.01551418257213,1051.550533571212,384.3736108725892,554.190365888411,375.6512027157455
2010-03-28,434.30645543871793,304.2186780395608,1014.6854409871522,394.88713691077226,600.164144961372,289.3970039903048
2010-04-04,362.6017000377583,361.8327966052783,1064.1898701198393,289.85914127104763,630.8147337689829,219.4718167161277
2010-04-11,316.0961509713565,338.43746331533697,1150.3319503496737,269.3457731870572,595.9790588816206,186.7155092325372
2010-04-18,267.34398120834373,343.7035778445143,1075.5521307503068,254.585410204326,596.502132124422,181.34287183878823
2010-04-25,267.55671686734297,358.2274638745487,1051.3505696314303,253.20563073665696,590.0223056466534,191.11569141215176
2010-05-02,239.2257205834153,379.6744388772876,1077.6086049347907,221.452884815012,615.8494362743213,151.75718308581892
2010-05-09,249.28796427890444,467.64472856806526,1039.3565210127829,242.11806959186683,640.6089434771889,170.42042889277784
2010-05-16,261.18321536988634,538.2749359820515,1384.1587030109629,234.1948604831732,607.2263280835158,163.60920688038811
2010-05-23,240.4781594757401,650.2945747562168,1223.41570627916,199.82754525997092,652.4203868080763,145.83251472626847
2010-05-30,270.7043280360939,705.6283733311938,1192.9921300612314,233.79330975691929,656.5092597746609,148.01984904770413
2010-06-06,242.4213786182345,745.673701853118,1190.3559461571851,225.55224440092428,615.1864590008673,130.04230365557729
2010-06-13,198.65457993112489,834.0561566037148,1138.1180502891857,230.05149525686875,689.7368945463621,114.13735671115636
2010-06-20,251.6083405795952,895.3198622075817,1194.7670427949704,217.7500872760221,711.2251425938905,122.20444682169828
2010-06-27,233.10980228727573,1073.0279594059043,1283.0482151668948,241.6306637077472,620.9724042866405,127.05635739285874
2010-07-04,259.1404472176838,1030.6705684367428,1822.81113588924,234.89592773589445,701.3290694830818,127.87567166558348
2010-07-11,254.889436296775,958.4278418632686,1654.5074566242984,247.998637538296,691.4651008021254,121.86093046406616
2010-07-18,264.95092639486825,1021.156636627566,1634.8210095093573,278.6725683405699,732.8735360463719,143.450959836352
2010-07-25,258.7856675764823,950.2325691643316,1227.0838453092467,252.38124110008985,786.5403609321065,159.53379863597326
2010-08-01,314.52087763032705,876.244416225234,1077.6042534244964,256.8982515627836,1008.288840692958,150.14836358711904
2010-08-08,289.70742396764825,768.8253050587131,978.9906344468878,273.56835807465905,959.297694142947,172.8040245302261
2010-08-15,297.68948721938574,619.5782402614684,1021.6587522926206,274.2580283569479,644.8375961927566,165.74191572516372
2010-08-22,309.9832723819808,491.0860150526034,920.2043166846923,250.66004339671687,669.5517723611395,204.69067152000656
2010-08-29,292.57151714060694,442.905637818231,896.3375221868167,225.48857216412648,693.3635703369397,209.6577236772376
2010-09-05,330.74669981799406,334.2584924050208,922.9072429140524,255.6678637077138,608.3595983339441,259.6225606929655
2010-09-12,309.24642989916345,241.54519470821745,898.3869358867336,234.43371149538424,637.1126456327614,245.9601625628445
2010-09-19,325.80506102001675,246.72985082070147,852.4046801618463,247.9770634414292,692.6418864924256,255.74789558561343
2010-09-26,334.71374676563346,175.3629775612203,856.7304145307548,262.8323885736342,628.6285301310708,278.03826161001183
2010-10-03,375.5100016274558,150.6165329824913,837.8001520621025,259.16736490080217,611.0263526059447,303.28126111650016
2010-10-10,396.3493864608886,129.88757640280568,829.3486398635565,290.16448722093986,575.4261666910495,296.8347545051436
2010-10-17,457.86575960600703,112.58069391449162,719.2556521728131,304.73455242559066,536.3051866054122,309.974178595372
2010-10-24,490.004564788961,107.442365989398,653.9232637127637,330.56132787856217,644.492103665644,362.5174981329464
2010-10-31,515.349151560412,102.16720189659809,667.1864074344568,472.4328955137883,642.9716431882597,403.604777424466
2010-11-07,637.4851942041944,97.73102265216494,675.7419493749946,658.5888487724171,642.4321183702896,473.5199198903456
2010-11-14,672.9397103289926,106.98095569503704,646.8120537747387,730.0015748339079,765.3068143255721,490.6681455873365
2010-11-21,784.5701189896513,84.04621485674883,673.6085143693678,1277.899685059413,671.546462644326,680.2724673779127
2010-11-28,889.9869549211041,81.09298707642044,687.4101629402656,1261.181103055019,612.9549008464792,745.1535054752113
2010-12-05,1037.0235311156196,95.98101450872916,671.5990876268911,1399.1699016177877,629.0077521024006,847.4449274548713
2010-12-12,1131.833621135073,87.92838527678263,715.320107179146,1534.3149201579467,637.4347379092161,911.737244118917
2010-12-19,1465.5935119426088,101.88212442986286,599.2432651283348,2251.875635611608,622.6008198194068,872.3379446892667
2010-12-26,1972.95300999066,114.98733699529424,728.7836338924408,2922.413313037536,628.7075090433691,1004.7133229433229
